artwork_citi_id,artwork_title,image_netx_id,image_netx_uuid,is_public_domain
143,Crispin,323769,3595bf79-7acc-0db3-12f0-ecb864358554,1
18576,"Head of a Woman with a Blue Necklace",188772,8cac8241-79f1-5365-a48f-77ae2639757f,
94840,"Young Woman at an Open Half-Door",409187,f95f32f7-6e79-5fbf-b438-a3fcb11197ee,1
14624,"Stacks of Wheat (End of Day, Autumn)",10572,4c364c64-2108-4e19-5fc5-1ab26ba924a7,1
2057,"Fragment (Border)",178553,077a96b5-3106-e7b7-1d0f-3c024be4f1f3,1
42,"Saint James the Greater",319827,6d0943bb-e4b6-102e-4742-0d1533f54c97,1
118718,"The Banquet",428426,d2c459c3-c6cf-551b-fd27-5a2854b9fa81,
108,"Pierre de Montarsis",314528,42332f4e-8f88-9861-5132-940a83fd2eb2,1
245,"Oinochoe (Pitcher)",113213,229b278b-bbce-c26e-01e6-e33489494317,1
10520,Plate,414433,c8affa46-087a-6b2c-bb23-1cbf99e6bfd1,1
521,"Chasuble with Orphrey Bands",188891,86a98539-6511-b7d3-f20d-195a944a2fe2,1
9599,"Female Nude Bending Toward the Left",126739,a1cd381c-d3c8-6823-8e7e-cf2a38d01312,
281,"Stemless Kylix (Drinking Cup)",385021,6dd1ab27-f9a0-596e-82ea-114d5069b294,1
5848,"Landscape with Saint John on Patmos",409976,aa870b0d-5a1b-660a-6dc6-56c12109cf6e,1
4796,"Fishing Boats with Hucksters Bargaining for Fish",234998,8641479e-c93e-f1a8-9925-19be061706da,1
2582,"Matsue, Izumo, from the series Souvenirs of Travel, Third Series (Tabi miyage dai sanshū)",195915,63461c9a-8ffb-d996-e097-de35760d6bd0,
9978,"Denarius (Coin) Depicting the God Apollo",204696,98cf6c06-270f-fe8f-11bd-a26550757966,1
109780,"Love of Winter",400395,18ab0c35-e35c-0216-9afd-f93357920db1,1
25825,"Woman at the Piano",402500,8f06717c-9ede-f22b-d13b-327a50c22f9c,1
14572,"The Millinery Shop",403518,6f513908-03cc-b974-633b-adfce56b7936,1
10933,"Les-Parents-Terribles series: Here is the little Dancer",318442,3b2ccc04-b524-3966-5632-3990df81d2b0,1
95998,"Old Man with a Gold Chain",389373,83375479-f7a9-bac3-44a8-e705ab6e423c,1
151363,Weaving,405470,718aaa92-ac48-2c17-2832-b034827bc45f,
172,"Oinochoe (Pitcher)",75945,09690ae8-43b3-4814-793e-af5ce930eea8,1
886,"Three Little Girls",415118,8b526140-7667-b1df-97bb-2d0f6e1be095,1
20194,"E-31: Japanese Traditional Interior",366747,a9094665-1177-e5d7-0ee2-f92eebe7726e,
15370,"Flavia Flavin",352414,faebdaec-4b35-5683-58fc-95f981be74f6,
7934,Platter,409343,9794ffdb-e20e-9275-20fc-4204f0e06405,1
9119,"Single Spout Vessel with Molded Abstract Figure",413271,4738cfd5-9477-6dad-da96-a9e6699864e2,1
91194,"Golden Bird",368272,c8024369-fa0a-6438-0072-f9b9929a800b,
8980,"Landscape with Two Poplars",408299,9694ca0c-c4c4-e48d-566f-4d248990cff4,1
497,"A Mother Feeding her Child (The Happy Mother)",363417,a161daf3-6766-63ed-3de6-0fc4f6d196fe,1
20579,"Hercules and the Lernaean Hydra",422269,2ae64c8a-266d-470a-a25a-c83127564636,1
28862,"A Peasant Woman Digging in Front of Her Cottage",218644,1d3a275d-45dd-6026-b6ed-d7d8df417a3d,1
45413,"A35: California Living Room, c. 1935-1940",366552,f4cef1ae-1a58-0f02-cbc7-7d6d0ef270ff,
117188,"The Earth Is a Man",234876,da65d795-bcc7-90e6-769e-f431d67a8c2d,
70374,"Visions of Eternity",408663,11e945ce-2616-cf05-d424-ff93e1ee3d1a,
144361,"Earthly Paradise",235076,8b4abeed-c22b-1477-1e76-b303ac1415d1,
79349,"The Drinkers",11591,d0ff5b36-bb38-b156-6042-5c8545352c2f,1
